"","E_It","N","R0","k","inter_day","effect","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","sufficient_ncluster","adjusted_sufficient_ncluster"
"40",0.005,10000,2,0.4,29,0.4,1.94927369271331,0.340848658668258,1.24261351229645,0.129011660857626,0.00504483333333333,7.59990660775814e-06,0.00919693333333333,1.88134284050239e-05,0.00595063333333333,8.74846241969545e-06,1000,"27","27.045"
"41",0.0045,10000,2,0.1,65,0.2,1.07935680834483,0.338376765692154,0.908654782446011,0.213773064771835,0.0044998,3.51270419473158e-06,0.00423693333333333,2.69803527398022e-06,0.00363803333333333,2.07273437701456e-06,100,">=1000",">=1000"
"42",0.0045,10000,2,0.1,65,0.2,1.07935680834483,0.338376765692154,0.908654782446011,0.213773064771835,0.0044998,3.51270419473158e-06,0.00423693333333333,2.69803527398022e-06,0.00363803333333333,2.07273437701456e-06,1000,"338","407.628"
"43",0.0045,10000,2,0.1,65,0.4,1.10845878020342,0.458774884795692,0.777045098753276,0.145253470305099,0.0043821,3.76048975325108e-06,0.00416323333333333,2.79717727131266e-06,0.00305633333333333,1.60004657107925e-06,100,"814","968.388666666667"
"44",0.0045,10000,2,0.1,65,0.4,1.10845878020342,0.458774884795692,0.777045098753276,0.145253470305099,0.0043821,3.76048975325108e-06,0.00416323333333333,2.79717727131266e-06,0.00305633333333333,1.60004657107925e-06,1000,"88","104.690666666667"
"45",0.02,100,1.5,0.7,10,0.2,1.05643571428571,1.79296183359873,0.909284391534392,1.3925449947353,0.0167833333333333,0.00012479465377348,0.0176866666666667,0.000453132866511059,0.0154333333333333,0.000369135267311326,10,">=1000",">=1000"
"46",0.02,100,1.5,0.7,10,0.2,1.05643571428571,1.79296183359873,0.909284391534392,1.3925449947353,0.0167833333333333,0.00012479465377348,0.0176866666666667,0.000453132866511059,0.0154333333333333,0.000369135267311326,50,">=1000",">=1000"
"47",0.02,100,1.5,0.7,10,0.2,1.05643571428571,1.79296183359873,0.909284391534392,1.3925449947353,0.0167833333333333,0.00012479465377348,0.0176866666666667,0.000453132866511059,0.0154333333333333,0.000369135267311326,100,"876","3070.964"
"48",0.02,100,1.5,0.7,10,0.4,1.06192962962963,1.87030196406585,0.704221164021164,0.970658121312686,0.0167366666666667,0.000132961642769812,0.0178166666666667,0.000494431199288652,0.01188,0.000256084294764922,10,">=1000",">=1000"
"49",0.02,100,1.5,0.7,10,0.4,1.06192962962963,1.87030196406585,0.704221164021164,0.970658121312686,0.0167366666666667,0.000132961642769812,0.0178166666666667,0.000494431199288652,0.01188,0.000256084294764922,50,"275","998.616666666667"
"50",0.02,100,1.5,0.7,10,0.4,1.06192962962963,1.87030196406585,0.704221164021164,0.970658121312686,0.0167366666666667,0.000132961642769812,0.0178166666666667,0.000494431199288652,0.01188,0.000256084294764922,100,"126","457.548"
"51",0.02,100,1.5,0.4,9,0.2,0.901975396825397,1.67581129359761,0.738640740740741,1.29291126199677,0.0147466666666667,8.6497988218295e-05,0.0137666666666667,0.000357464710459042,0.0113533333333333,0.000279861776147605,10,">=1000",">=1000"
"52",0.02,100,1.5,0.4,9,0.2,0.901975396825397,1.67581129359761,0.738640740740741,1.29291126199677,0.0147466666666667,8.6497988218295e-05,0.0137666666666667,0.000357464710459042,0.0113533333333333,0.000279861776147605,50,">=1000",">=1000"
"53",0.02,100,1.5,0.4,9,0.2,0.901975396825397,1.67581129359761,0.738640740740741,1.29291126199677,0.0147466666666667,8.6497988218295e-05,0.0137666666666667,0.000357464710459042,0.0113533333333333,0.000279861776147605,100,"537","2020.552"
"54",0.02,100,1.5,0.4,9,0.4,0.894914153439153,1.60784215307217,0.588860846560847,0.831658594826533,0.0152466666666667,0.000101973146604424,0.01428,0.000371872224074692,0.00944666666666667,0.000200760742469712,10,">=1000",">=1000"
"55",0.02,100,1.5,0.4,9,0.4,0.894914153439153,1.60784215307217,0.588860846560847,0.831658594826533,0.0152466666666667,0.000101973146604424,0.01428,0.000371872224074692,0.00944666666666667,0.000200760742469712,50,"314","1135.63333333333"
"56",0.02,100,1.5,0.4,9,0.4,0.894914153439153,1.60784215307217,0.588860846560847,0.831658594826533,0.0152466666666667,0.000101973146604424,0.01428,0.000371872224074692,0.00944666666666667,0.000200760742469712,100,"134","484.633333333333"
"57",0.02,100,1.5,0.1,10,0.2,0.557425529100529,1.05457335377139,0.494132010582011,0.838018427424004,0.0143533333333333,8.8878114927198e-05,0.00904333333333333,0.000239998121596088,0.00784,0.000179727642547516,10,">=1000",">=1000"
"58",0.02,100,1.5,0.1,10,0.2,0.557425529100529,1.05457335377139,0.494132010582011,0.838018427424004,0.0143533333333333,8.8878114927198e-05,0.00904333333333333,0.000239998121596088,0.00784,0.000179727642547516,50,">=1000",">=1000"
"59",0.02,100,1.5,0.1,10,0.2,0.557425529100529,1.05457335377139,0.494132010582011,0.838018427424004,0.0143533333333333,8.8878114927198e-05,0.00904333333333333,0.000239998121596088,0.00784,0.000179727642547516,100,">=1000",">=1000"
"60",0.02,100,1.5,0.1,10,0.4,0.570153968253968,1.07813052622731,0.406538095238095,0.639335145827143,0.0141966666666667,8.22487384683783e-05,0.00915,0.000235255918639547,0.00671333333333333,0.000153515660775814,10,">=1000",">=1000"
