"","E_It","N","R0","k","effect","inter_day","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","approx","sufficient_ncluster","adjusted_sufficient_ncluster"
"49",0.02,100,1.5,0.7,0.4,9,1.05962843915344,1.74388280390724,0.718555026455026,1.03833058242028,0.0155133333333333,9.58351005890853e-05,0.0165033333333333,0.000407809258641769,0.0112766666666667,0.000247352573079916,50,329.032087873116,"205","670.35"
"50",0.02,100,1.5,0.7,0.4,9,1.05962843915344,1.74388280390724,0.718555026455026,1.03833058242028,0.0155133333333333,9.58351005890853e-05,0.0165033333333333,0.000407809258641769,0.0112766666666667,0.000247352573079916,100,254.594196895075,"132","431.64"
"51",0.02,100,1.5,0.4,0.2,9,0.935175396825397,1.66980844204241,0.78026746031746,1.2720170305137,0.0153466666666667,9.28441035900856e-05,0.0149066666666667,0.000392522129598755,0.0124533333333333,0.000305749738801823,10,4648.9883199451,">=1000",">=1000"
"52",0.02,100,1.5,0.4,0.2,9,0.935175396825397,1.66980844204241,0.78026746031746,1.2720170305137,0.0153466666666667,9.28441035900856e-05,0.0149066666666667,0.000392522129598755,0.0124533333333333,0.000305749738801823,50,1855.37301373659,"969","3551.062"
"53",0.02,100,1.5,0.4,0.2,9,0.935175396825397,1.66980844204241,0.78026746031746,1.2720170305137,0.0153466666666667,9.28441035900856e-05,0.0149066666666667,0.000392522129598755,0.0124533333333333,0.000305749738801823,100,1506.17116743586,"626","2294.08133333333"
"54",0.02,100,1.5,0.4,0.4,10,0.948700529100529,1.63754521462195,0.645928439153439,0.81089322530957,0.0163833333333333,0.000119993053239969,0.0160966666666667,0.000445279081916194,0.0110033333333333,0.000220300088918528,10,1052.95248428392,"783","3006.72"
"55",0.02,100,1.5,0.4,0.4,10,0.948700529100529,1.63754521462195,0.645928439153439,0.81089322530957,0.0163833333333333,0.000119993053239969,0.0160966666666667,0.000445279081916194,0.0110033333333333,0.000220300088918528,50,415.722207404998,"259","994.56"
"56",0.02,100,1.5,0.4,0.4,10,0.948700529100529,1.63754521462195,0.645928439153439,0.81089322530957,0.0163833333333333,0.000119993053239969,0.0160966666666667,0.000445279081916194,0.0110033333333333,0.000220300088918528,100,336.068731557839,"169","648.96"
"57",0.02,100,1.5,0.1,0.2,8,0.534337301587302,1.10945433737109,0.452314682539683,0.791239704478055,0.0129433333333333,5.03869178615094e-05,0.00816,0.000236893364454818,0.00678666666666667,0.000158794086917861,10,13613.2017653837,">=1000",">=1000"
"58",0.02,100,1.5,0.1,0.2,8,0.534337301587302,1.10945433737109,0.452314682539683,0.791239704478055,0.0129433333333333,5.03869178615094e-05,0.00816,0.000236893364454818,0.00678666666666667,0.000158794086917861,50,6968.93202598952,">=1000",">=1000"
"59",0.02,100,1.5,0.1,0.2,8,0.534337301587302,1.10945433737109,0.452314682539683,0.791239704478055,0.0129433333333333,5.03869178615094e-05,0.00816,0.000236893364454818,0.00678666666666667,0.000158794086917861,100,6138.39831636817,">=1000",">=1000"
"60",0.02,100,1.5,0.1,0.4,11,0.648131613756614,1.16083542921713,0.445671031746032,0.629397596091124,0.0153233333333333,0.000115067144603757,0.01089,0.000281735145048349,0.00766666666666667,0.000164943870178949,10,2174.78172408737,">=1000",">=1000"
"61",0.02,100,1.5,0.1,0.4,11,0.648131613756614,1.16083542921713,0.445671031746032,0.629397596091124,0.0153233333333333,0.000115067144603757,0.01089,0.000281735145048349,0.00766666666666667,0.000164943870178949,50,1163.5856387951,"388","2160.772"
"62",0.02,100,1.5,0.1,0.4,11,0.648131613756614,1.16083542921713,0.445671031746032,0.629397596091124,0.0153233333333333,0.000115067144603757,0.01089,0.000281735145048349,0.00766666666666667,0.000164943870178949,100,1037.18617159423,"244","1358.836"
"63",0.02,100,2,0.7,0.2,8,1.51372574555075,2.98074246131459,1.25463316498317,2.30086380247551,0.0170966666666667,0.000132848271646104,0.02559,0.00078864811603868,0.0213866666666667,0.000622284583750139,10,2359.3110741071,">=1000",">=1000"
"64",0.02,100,2,0.7,0.2,8,1.51372574555075,2.98074246131459,1.25463316498317,2.30086380247551,0.0170966666666667,0.000132848271646104,0.02559,0.00078864811603868,0.0213866666666667,0.000622284583750139,50,926.224032099994,"642","1780.908"
"65",0.02,100,2,0.7,0.2,8,1.51372574555075,2.98074246131459,1.25463316498317,2.30086380247551,0.0170966666666667,0.000132848271646104,0.02559,0.00078864811603868,0.0213866666666667,0.000622284583750139,100,747.088292237159,"424","1176.176"
"66",0.02,100,2,0.7,0.4,8,1.52742843915344,3.01698964490849,0.954764417989418,1.41815942557402,0.01708,0.000123981593864622,0.02595,0.000816102867622541,0.0163733333333333,0.000391977948204957,10,430.791799648581,"349","989.415"
"67",0.02,100,2,0.7,0.4,8,1.52742843915344,3.01698964490849,0.954764417989418,1.41815942557402,0.01708,0.000123981593864622,0.02595,0.000816102867622541,0.0163733333333333,0.000391977948204957,50,166.729152020246,"115","326.025"
"68",0.02,100,2,0.7,0.4,8,1.52742843915344,3.01698964490849,0.954764417989418,1.41815942557402,0.01708,0.000123981593864622,0.02595,0.000816102867622541,0.0163733333333333,0.000391977948204957,100,133.722138366488,"78","221.13"
"69",0.02,100,2,0.4,0.2,7,1.20849193121693,2.52804125603595,0.997132407407407,1.91244039844345,0.01491,8.76877959319773e-05,0.0191233333333333,0.000610001456040903,0.0158433333333333,0.000462376247638102,10,3441.669026355,">=1000",">=1000"
