"","N","E_It","R0","k","effect","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","lower_bound","sufficient_ncluster","adjusted_sufficient_ncluster"
"31",10000,0.005,1.5,0.4,0.4,1.52808668971097,0.617362511392459,0.984973201708922,0.243605935208629,16.949,133.010069023008,24.6513333333333,306.362552406358,16.0653333333333,133.163452706458,100,411.380899298174,"353","358.177333333333"
"32",10000,0.005,1.5,0.4,0.4,1.52808668971097,0.617362511392459,0.984973201708922,0.243605935208629,16.949,133.010069023008,24.6513333333333,306.362552406358,16.0653333333333,133.163452706458,1000,57.255494113109,"37","37.5426666666667"
"33",10000,0.005,1.5,0.1,0.2,1.3432958503782,1.2246426909179,1.11676591216556,0.817290858249554,7.17266666666667,38.1015534066911,9.17133333333333,72.7228858508392,7.74866666666667,54.8251065910859,100,5938.39286591619,">=1000",">=1000"
"34",10000,0.005,1.5,0.1,0.2,1.3432958503782,1.2246426909179,1.11676591216556,0.817290858249554,7.17266666666667,38.1015534066911,9.17133333333333,72.7228858508392,7.74866666666667,54.8251065910859,1000,1227.59315207091,"549","698.694"
"35",10000,0.005,1.5,0.1,0.4,1.33578513014194,1.29517087892539,0.895054019487528,0.593511761193915,7.078,40.63145981994,9.15666666666667,82.0868178281649,6.186,38.8270130043348,100,1432.21831282936,"993","1268.061"
"36",10000,0.005,1.5,0.1,0.4,1.33578513014194,1.29517087892539,0.895054019487528,0.593511761193915,7.078,40.63145981994,9.15666666666667,82.0868178281649,6.186,38.8270130043348,1000,288.403598628284,"103","131.531"
"37",10000,0.005,2,0.7,0.2,1.98270998726765,0.160922218218254,1.57599319899547,0.0979204994749698,68.085,959.310211737246,129.587333333333,2659.0387191286,103.785,1826.79704068023,100,254.719232121716,"283","283.094333333333"
"38",10000,0.005,2,0.7,0.2,1.98270998726765,0.160922218218254,1.57599319899547,0.0979204994749698,68.085,959.310211737246,129.587333333333,2659.0387191286,103.785,1826.79704068023,1000,34.3526160728789,"29","29.0096666666667"
"39",10000,0.005,2,0.7,0.4,1.99186633739984,0.185607164395424,1.24644379780336,0.0674376650861672,66.697,982.323965655218,127.013333333333,2727.56967878182,80.5686666666667,1236.7008518395,100,71.1218398197182,"70","70"
"40",10000,0.005,2,0.7,0.4,1.99186633739984,0.185607164395424,1.24644379780336,0.0674376650861672,66.697,982.323965655218,127.013333333333,2727.56967878182,80.5686666666667,1236.7008518395,1000,10.1921695763601,"8","8"
"41",10000,0.005,2,0.4,0.2,1.99058495878484,0.407438470572419,1.60101442496745,0.229161939077572,44.9316666666667,646.535842503057,83.8393333333333,1750.85780549072,67.927,1219.66689329777,100,433.685177399709,"501","502.169"
"42",10000,0.005,2,0.4,0.2,1.99058495878484,0.407438470572419,1.60101442496745,0.229161939077572,44.9316666666667,646.535842503057,83.8393333333333,1750.85780549072,67.927,1219.66689329777,1000,64.8789941398509,"49","49.1143333333333"
"43",10000,0.005,2,0.4,0.4,1.98778909130555,0.346221191287332,1.24222797100866,0.164206547793749,44.8216666666667,631.35631599422,83.8596666666667,1749.99330432366,53.017,788.9697009003,100,107.253586509969,"102","102.102"
"44",10000,0.005,2,0.4,0.4,1.98778909130555,0.346221191287332,1.24222797100866,0.164206547793749,44.8216666666667,631.35631599422,83.8596666666667,1749.99330432366,53.017,788.9697009003,1000,16.4626263961437,"11","11.011"
"45",10000,0.005,2,0.1,0.2,1.85618580233982,1.22569256197934,1.48837065250029,0.701872563698361,16.322,181.017988662888,27.6973333333333,419.755644770479,22.5176666666667,291.068043903523,100,1397.46889340923,">=1000",">=1000"
"46",10000,0.005,2,0.1,0.2,1.85618580233982,1.22569256197934,1.48837065250029,0.701872563698361,16.322,181.017988662888,27.6973333333333,419.755644770479,22.5176666666667,291.068043903523,1000,332.412413604944,"148","166.648"
"47",10000,0.005,2,0.1,0.4,1.86978436560881,1.35265194811222,1.20489489431567,0.654123156137181,16.254,179.068506835612,27.219,419.207441480494,17.8996666666667,198.717839168612,100,392.781734182111,"353","400.419666666667"
"48",10000,0.005,2,0.1,0.4,1.86978436560881,1.35265194811222,1.20489489431567,0.654123156137181,16.254,179.068506835612,27.219,419.207441480494,17.8996666666667,198.717839168612,1000,91.8286005656894,"37","41.9703333333333"
"49",100,0.02,1.5,0.7,0.2,1.04350654150917,1.24918169043077,0.91958373872716,1.02382733303098,3.09333333333333,5.02629765477381,2.671,5.57061587195732,2.34133333333333,4.45364276981216,10,3848.516805206,">=1000",">=1000"
"50",100,0.02,1.5,0.7,0.2,1.04350654150917,1.24918169043077,0.91958373872716,1.02382733303098,3.09333333333333,5.02629765477381,2.671,5.57061587195732,2.34133333333333,4.45364276981216,50,1395.26560106112,"478","2411.032"
"51",100,0.02,1.5,0.7,0.2,1.04350654150917,1.24918169043077,0.91958373872716,1.02382733303098,3.09333333333333,5.02629765477381,2.671,5.57061587195732,2.34133333333333,4.45364276981216,100,1088.60931537041,"251","1266.044"
"52",100,0.02,1.5,0.7,0.4,1.05771993023317,1.23733823892775,0.768862876230523,0.750613164945844,3.08733333333333,4.83865243970212,2.659,5.25980560186729,1.99133333333333,3.74650705790819,10,658.506827213333,"519","2650.187"
"53",100,0.02,1.5,0.7,0.4,1.05771993023317,1.23733823892775,0.768862876230523,0.750613164945844,3.08733333333333,4.83865243970212,2.659,5.25980560186729,1.99133333333333,3.74650705790819,50,236.550251045544,"107","546.377666666667"
"54",100,0.02,1.5,0.7,0.4,1.05771993023317,1.23733823892775,0.768862876230523,0.750613164945844,3.08733333333333,4.83865243970212,2.659,5.25980560186729,1.99133333333333,3.74650705790819,100,183.806376908388,"58","296.167333333333"
"55",100,0.02,1.5,0.4,0.2,0.979655218855219,1.04679586021898,0.862221115921116,0.878417733888926,2.97366666666667,4.32708224963877,2.402,4.43320706902301,2.11733333333333,3.75548471712793,10,4479.9782722947,">=1000",">=1000"
"56",100,0.02,1.5,0.4,0.2,0.979655218855219,1.04679586021898,0.862221115921116,0.878417733888926,2.97366666666667,4.32708224963877,2.402,4.43320706902301,2.11733333333333,3.75548471712793,50,1830.73758516971,"531","3344.592"
"57",100,0.02,1.5,0.4,0.2,0.979655218855219,1.04679586021898,0.862221115921116,0.878417733888926,2.97366666666667,4.32708224963877,2.402,4.43320706902301,2.11733333333333,3.75548471712793,100,1499.58256290316,"259","1631.35466666667"
"58",100,0.02,1.5,0.4,0.4,1.02779631849632,1.20332684533086,0.705437451437451,0.679138262958368,2.91433333333333,4.23240535734134,2.434,4.55849683227743,1.75333333333333,2.98148271646104,10,569.494387992629,"455","2840.86833333333"
"59",100,0.02,1.5,0.4,0.4,1.02779631849632,1.20332684533086,0.705437451437451,0.679138262958368,2.91433333333333,4.23240535734134,2.434,4.55849683227743,1.75333333333333,2.98148271646104,50,231.169873379624,"92","574.417333333333"
"60",100,0.02,1.5,0.4,0.4,1.02779631849632,1.20332684533086,0.705437451437451,0.679138262958368,2.91433333333333,4.23240535734134,2.434,4.55849683227743,1.75333333333333,2.98148271646104,100,188.8798257169,"48","299.696"
"61",100,0.02,1.5,0.1,0.2,0.785673402523403,0.963751306757982,0.668784991859992,0.733292534810607,2.41,2.57875958652884,1.57766666666667,2.68819728798488,1.342,2.11574124708236,10,6002.61180717179,">=1000",">=1000"
